 2016-10-12 20:35:29,415 [P4608/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.2 application starting on TAMRIEL
 2016-10-12 20:35:29,435 [P4608/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-10-12 20:35:29,446 [P4608/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 10ms)
 2016-10-12 20:35:29,511 [P4608/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-10-12 20:35:29,723 [P4608/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 211ms)
 2016-10-12 20:35:29,739 [P4608/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-10-12 20:35:29,746 [P4608/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 6ms)
 2016-10-12 20:35:29,747 [P4608/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-10-12 20:35:29,753 [P4608/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 5ms)
 2016-10-12 20:35:29,767 [P4608/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-10-12 20:35:29,771 [P4608/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 3ms)
 2016-10-12 20:35:29,771 [P4608/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-10-12 20:35:29,777 [P4608/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 5ms)
 2016-10-12 20:35:29,812 [P4608/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-10-12 20:35:29,816 [P4608/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 4ms)
 2016-10-12 20:35:29,817 [P4608/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-10-12 20:35:29,821 [P4608/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 4ms)
 2016-10-12 20:35:30,951 [P4608/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-10-12 20:35:31,246 [P4608/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-10-12 20:35:31,267 [P4608/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-10-12 20:35:31,296 [P4608/D2/T1] WARN  Umbraco.Core.Sync.DatabaseServerMessenger - No last synced Id found, this generally means this is a new server/install. The server will build its caches and indexes, and then adjust its last synced Id to the latest found in the database and maintain cache updates based on that Id.
 2016-10-12 20:35:31,327 [P4608/D2/T1] INFO  umbraco.content - Load Xml from file...
 2016-10-12 20:35:31,330 [P4608/D2/T1] INFO  umbraco.content - Loaded Xml from file.
 2016-10-12 20:35:31,332 [P4608/D2/T1] INFO  umbraco.content - Loading content from database...
 2016-10-12 20:35:31,983 [P4608/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-10-12 20:35:32,002 [P4608/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-10-12 20:35:32,002 [P4608/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2016-10-12 20:35:32,016 [P4608/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 2686ms)
 2016-10-12 20:35:32,355 [P4608/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2016-10-12 20:35:32,366 [P4608/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 10ms)
 2016-10-12 20:35:32,605 [P4608/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2016-10-12 20:35:32,612 [P4608/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 6ms)
 2016-10-12 20:35:33,023 [P4608/D2/T13] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:51600/umbraco (UmbracoModule request)
